@RELATION train
@ATTRIBUTE Expert {0,1}
@ATTRIBUTE Head_Entropy_Start NUMERIC
@ATTRIBUTE Head_Entropy_Mid NUMERIC
@ATTRIBUTE Head_Entropy_End NUMERIC
@ATTRIBUTE Avg_HandEntropy_Begin NUMERIC
@ATTRIBUTE Avg_HandEntropy_Mid NUMERIC
@ATTRIBUTE Avg_HandEntropy_End NUMERIC
@ATTRIBUTE Avg_SentenceLength_Begin NUMERIC
@ATTRIBUTE Avg_SentenceLength_Mid NUMERIC
@ATTRIBUTE Avg_SentenceLength_End NUMERIC
@ATTRIBUTE Ratio1_Begin NUMERIC
@ATTRIBUTE Ratio1_Mid NUMERIC
@ATTRIBUTE Ratio1_End NUMERIC
@ATTRIBUTE Ratio2_Begin NUMERIC
@ATTRIBUTE Ratio2_Mid NUMERIC
@ATTRIBUTE Ratio2_End NUMERIC
@ATTRIBUTE Duration NUMERIC
@ATTRIBUTE PresenceClass {0,1,2,3,4}
@DATA
0,2.451596319662885,3.394367135788521,2.307884744346043,1.710055691289718,2.776748557772928,1.747450559760079,8.5,7.625,7.0,0.0576923076923077,0.1239669421487603,0.1666666666666667,0.1730769230769231,0.1570247933884298,0.1666666666666667,242.54,2
0,1.673079845907559,2.033202706431837,0.9938701260687712,1.411498579694665,1.956545291150222,0.7945813846709626,7.111111111111111,8.464285714285714,12.0,0.2181818181818182,0.1568627450980392,0.3333333333333333,0.09090909090909091,0.1274509803921569,0.1111111111111111,221.4375,3
0,1.333529538215031,2.326045385695887,1.033751576939375,1.26493248676279,2.08614270837864,0.8278294388884503,7.25,8.161290322580646,6.5,0.1666666666666667,0.1264822134387352,0.2121212121212121,0.1666666666666667,0.1857707509881423,0.1212121212121212,197.21875,3
0,0.6553944940948114,2.551127878746364,0.9553917082615012,0.4469426849622667,2.462383535616153,0.8846994102403165,8.333333333333334,7.967741935483871,10.66666666666667,0.14,0.2358078602620087,0.2121212121212121,0.14,0.1528384279475982,0.2424242424242424,174.65625,4
0,1.326662070430987,2.690200372017607,1.128224250755389,1.319741798766547,2.350142557435323,1.40236021809732,5.2,8.25,4.75,0.1,0.08411214953271028,0.2666666666666667,0.1666666666666667,0.205607476635514,0.2,109.03125,4
0,1.444785047951492,3.046305588024614,1.884024618139592,1.20516464188245,2.217370923561621,1.589077580433154,2.333333333333333,11.16666666666667,12.0,0.2,0.1467391304347826,0.1063829787234043,0.15,0.1521739130434783,0.2127659574468085,188.46875,2
1,0.683143591958484,3.232834493209885,2.235458519535753,0.6632386407877537,2.570190359554645,2.06327057573834,5.8,9.06060606060606,7.375,0.1785714285714286,0.1241830065359477,0.2692307692307692,0.1785714285714286,0.1797385620915033,0.1730769230769231,219.21875,3
1,1.878205703349147,3.01131306968173,2.369097179698342,1.296718004215837,2.173352304879392,1.856159478152809,5.642857142857143,6.857142857142857,6.285714285714286,0.2125,0.1592356687898089,0.125,0.15,0.1624203821656051,0.2,264.71875,2
0,2.0241600760085,3.074971603565144,1.666492503224865,1.64218719324988,2.37631406497606,1.181431499498141,32.0,8.25,7.333333333333333,0.1081081081081081,0.1463414634146341,0.1818181818181818,0.1891891891891892,0.1853658536585366,0.2727272727272727,178.3125,2
1,1.621938179887777,2.993725339509739,1.579225702100364,0.8106171394263985,2.839629917781162,0.8838019460949814,8.0,8.44186046511628,6.545454545454546,0.07142857142857142,0.1308139534883721,0.1125,0.1607142857142857,0.1656976744186046,0.2375,262.0625,3
0,1.208404710047657,2.840888984719919,1.75589932151225,1.61880814288657,2.461616189633479,1.581365324429422,10.0,7.823529411764706,6.25,0.1707317073170732,0.1766917293233083,0.1481481481481481,0.2195121951219512,0.1766917293233083,0.2592592592592592,136.46875,0
1,2.323937402956876,3.895396832681806,2.215541340927883,1.897672214207001,3.57178095307273,1.44445052917814,0.0,8.5,0.0,0.0,0.1666666666666667,0.0,0.0,0.1111111111111111,0.0,247.3125,4
0,2.00005371903762,2.574183855462586,1.505569040021441,1.281889965846914,2.227998422009841,1.3016021172966,8.166666666666666,6.264705882352941,6.125,0.06896551724137931,0.1626794258373206,0.1951219512195122,0.2068965517241379,0.1722488038277512,0.0975609756097561,210.4375,3
0,1.444610036661744,2.915875874739758,1.371956416325419,0.9785868029057356,2.619790839358028,1.121611099803442,6.0,10.0625,12.0,0.131578947368421,0.1549295774647887,0.1818181818181818,0.131578947368421,0.147887323943662,0.09090909090909091,169.5,4
1,1.621938179887777,2.993725339509739,1.579225702100364,0.6232628407042756,2.972089825667324,0.7494252118325888,5.615384615384615,6.454545454545454,9.333333333333334,0.06451612903225806,0.1485148514851485,0.2857142857142857,0.1612903225806452,0.1584158415841584,0.07142857142857142,150.0,3
1,2.036626593664673,3.154207915045876,1.702665061618682,1.861835564067476,2.225431220773566,1.800235663438617,6.0,6.5,7.6,0.09433962264150944,0.12,0.2580645161290323,0.1509433962264151,0.1657142857142857,0.1290322580645161,145.26,1
1,1.458662060114215,2.570019217175945,1.610731046468089,1.408642382725309,2.302595471809834,1.632452972168888,7.0,6.275,7.5,0.1111111111111111,0.1521739130434783,0.24,0.07407407407407407,0.1434782608695652,0.2,166.53125,1
1,1.392788491766404,2.917328120269087,1.784951847286482,1.353565098782784,2.724687790274322,1.632775462702397,3.714285714285714,9.275862068965518,7.142857142857143,0.07547169811320754,0.1314741035856574,0.16,0.169811320754717,0.1752988047808765,0.18,278.5,3
1,1.276542692540462,2.872076611802373,1.350791630134922,0.7486619184207364,1.859659122688163,1.192561493031715,5.142857142857143,9.1,8.555555555555555,0.1625,0.1283018867924528,0.1044776119402985,0.1625,0.1622641509433962,0.1940298507462687,223.25,2
0,1.418676197982079,1.909247266654592,1.337212374518095,1.204304745410115,1.617983854317736,1.137711715957317,7.166666666666667,8.84375,15.66666666666667,0.1282051282051282,0.1608391608391608,0.1041666666666667,0.1282051282051282,0.1713286713286713,0.2083333333333333,196.71875,2
0,1.273638056486292,3.092904628262932,1.27487945365768,1.056644637807144,2.705605590793957,1.033824784307127,6.111111111111111,8.225806451612904,6.0,0.2222222222222222,0.1848739495798319,0.32,0.1666666666666667,0.1428571428571428,0.12,232.8125,3
0,1.621938179887777,2.993725339509739,1.579225702100364,1.148132038293942,2.263032634333644,0.5966844223209902,5.714285714285714,7.714285714285714,20.0,0.1351351351351351,0.1296296296296296,0.2173913043478261,0.1621621621621622,0.1805555555555556,0.2173913043478261,130.42,4
0,1.662336106594423,2.856659635136021,0.92830602931949,1.416423716113285,2.124906537258707,1.149885067943561,5.25,7.7,5.0,0.0,0.1511627906976744,0.0,0.1428571428571428,0.1627906976744186,0.5,95.88,3
0,1.621938179887777,2.993725339509739,1.579225702100364,1.245782984593802,1.736578015267554,1.344855736453082,6.333333333333333,7.052631578947368,6.333333333333333,0.1739130434782609,0.07575757575757576,0.1111111111111111,0.1304347826086956,0.1893939393939394,0.2222222222222222,206.42,2
0,1.810642566089257,2.842002331197735,0.7006317397287457,1.089445999891046,1.82490886082685,0.5351787347465021,6.333333333333333,8.652173913043478,9.5,0.1590909090909091,0.1907216494845361,0.3571428571428572,0.1818181818181818,0.1855670103092784,0.1428571428571428,116.5625,4
0,1.362497178385777,2.637082444467767,0.7697582168177428,1.427925794039547,2.284867643324445,0.7952379792090323,0.0,7.727272727272728,14.0,0.125,0.1212121212121212,0.0,0.125,0.1818181818181818,0.5,119.25,2
0,1.374449742791126,2.681877607904564,0.8280904654085237,1.237133649396539,2.908964055369588,1.100106444990422,4.5,13.57142857142857,7.0,0.0,0.1222222222222222,0.0,0.1875,0.1777777777777778,0.1666666666666667,106.67,0
0,1.459768931785612,2.805179140701623,1.302246431237008,1.023930432937041,2.336226468753657,0.839972165903837,5.25,8.133333333333333,11.0,0.07692307692307693,0.08403361344537816,0.16,0.1538461538461539,0.2184873949579832,0.28,227.0,2
0,1.661062056809594,2.855386006545456,1.725240893760237,1.302169662488384,2.361318563993521,1.35379442498076,11.66666666666667,6.571428571428571,5.666666666666667,0.1463414634146341,0.1666666666666667,0.1428571428571428,0.1951219512195122,0.1944444444444444,0.2142857142857143,230.40625,2
0,1.533975596492763,2.614855173523154,0.8989528912857553,1.014261236467756,1.49555783889933,0.7330744531767929,4.0,8.3,5.333333333333333,0.1428571428571428,0.1288343558282209,0.3076923076923077,0.1785714285714286,0.1901840490797546,0.07692307692307693,153.63,3
0,1.961197941684117,3.231085315136674,1.580330180729742,1.414101674832904,2.529150919409281,1.103200315436857,4.0,8.862068965517242,5.8,0.25,0.199203187250996,0.32,0.15,0.1713147410358566,0.08,254.9375,2
1,1.461132864123817,3.248865699943936,2.042464582736058,1.697457675397264,2.28320998261434,2.26372410386872,9.11111111111111,7.716981132075472,7.875,0.05952380952380952,0.1481481481481481,0.09259259259259259,0.1666666666666667,0.1654320987654321,0.2037037037037037,295.34375,2
1,2.265075310967541,2.983875302847312,2.271204553342175,1.269203334537836,1.923527095216425,2.495290109260523,2.75,10.1,10.5,0.07407407407407407,0.1403508771929824,0.1014492753623188,0.1666666666666667,0.1719298245614035,0.2318840579710145,215.46875,1
1,0.954067717756792,3.247324355931808,0.4631946038650645,0.8376148023791186,2.111297802354498,0.3966057170256868,6.272727272727272,7.301587301587301,5.846153846153846,0.06756756756756757,0.1412556053811659,0.2461538461538462,0.1891891891891892,0.1704035874439462,0.1538461538461539,261.23,3
1,1.490294813109513,3.401610829422665,1.405500960425084,1.051275024718271,2.447591267510739,1.313673096724104,8.88888888888889,7.545454545454546,7.7,0.2738095238095238,0.2380952380952381,0.2456140350877193,0.1428571428571428,0.1468253968253968,0.1578947368421053,293.59375,2
1,1.13101700911942,3.313782390209798,0.9096885805875162,0.3758705737617307,2.280176003030119,0.3589305302091073,6.777777777777778,10.07692307692308,8.0,0.2068965517241379,0.152,0.2040816326530612,0.103448275862069,0.168,0.163265306122449,261.0,2
1,1.910152732275175,3.241892697984374,1.306039952801677,1.669469617925002,2.535192015448946,0.7768970096050986,6.666666666666667,7.72,4.375,0.3142857142857143,0.203125,0.1875,0.08571428571428572,0.1770833333333333,0.125,214.96875,3
0,2.034527167738929,3.074674880767975,2.190053542706829,1.486117428444383,2.589719128253161,1.633697502264362,9.0,8.31578947368421,9.5,0.09090909090909091,0.1524390243902439,0.2307692307692308,0.09090909090909091,0.2073170731707317,0.1923076923076923,165.63,3
0,1.99000616005792,2.632803791477094,1.507926250526499,1.285380442759351,1.83241792111764,0.9276820237221958,10.0,11.1,26.0,0.1428571428571428,0.1029411764705882,0.1,0.1904761904761905,0.1985294117647059,0.3,136.34375,2
0,1.378207515277789,3.691843316647982,2.027475924071652,1.499212529694986,3.360968560332283,1.911470731913658,8.5,10.29411764705882,7.4,0.1578947368421053,0.1201923076923077,0.2333333333333333,0.131578947368421,0.2115384615384615,0.1666666666666667,145.625,4
0,1.898898093300822,2.736320256065709,1.66775219504187,1.750178331877456,2.248114494235632,1.345285950062721,5.923076923076923,9.814814814814815,8.571428571428571,0.1139240506329114,0.1492537313432836,0.1666666666666667,0.1772151898734177,0.1828358208955224,0.2037037037037037,296.0625,1
0,1.840469894868338,3.348471639621634,1.647029262463618,1.422569620489728,1.619147743081411,1.323781326281685,0.0,11.15384615384615,5.666666666666667,0.02631578947368421,0.1259842519685039,0.25,0.2105263157894737,0.2204724409448819,0.08333333333333333,186.97,3
1,1.582442836350304,3.477772489876481,1.184154407621378,1.364806509645966,2.735588799366888,0.831163728161139,8.0,9.0,7.5,0.171875,0.2124352331606218,0.148936170212766,0.171875,0.1606217616580311,0.1914893617021277,216.875,4
0,1.592831439477759,3.185820527486536,2.057496861027241,1.191281734006638,2.857126727171271,1.786934638213277,4.272727272727272,7.431818181818182,6.555555555555555,0.2173913043478261,0.1655405405405405,0.25,0.1159420289855072,0.1689189189189189,0.1607142857142857,312.4375,1
0,1.620065371141088,2.772323473440133,2.041698294470355,1.498505334659873,2.940262120290857,1.353863413324133,5.777777777777778,7.285714285714286,6.0,0.1454545454545454,0.1368821292775665,0.1111111111111111,0.1636363636363636,0.2015209125475285,0.2222222222222222,176.69,1
0,1.894656971200628,3.235628836308486,1.760955102870339,1.595434450990023,3.087668459739275,1.906085916842092,8.0,9.764705882352942,9.0,0.1555555555555556,0.1352112676056338,0.1772151898734177,0.2222222222222222,0.2394366197183098,0.2405063291139241,228.4375,3
0,2.557720394199692,3.506269622628658,2.119662851893863,2.298236467478607,2.60069619497415,1.922863862187049,6.857142857142857,8.555555555555555,18.0,0.04081632653061224,0.138728323699422,0.0,0.2244897959183673,0.1965317919075145,0.1666666666666667,197.40625,3
1,1.321650239962674,2.674796781423057,1.322461724760291,1.191159719624625,2.456568048408868,1.2957390267991,4.916666666666667,8.0,5.2,0.21875,0.1543942992874109,0.1641791044776119,0.15625,0.159144893111639,0.1492537313432836,239.28125,4
1,1.621938179887777,2.993725339509739,1.579225702100364,1.115131374421718,1.834100022591745,1.279504067534558,4.363636363636363,8.241379310344827,9.0,0.24,0.1324786324786325,0.131578947368421,0.12,0.1794871794871795,0.1578947368421053,199.32,4
0,1.205575669941619,2.7453444085454,1.128500720309647,0.9419385075667648,2.466821606410357,1.040524952549308,3.0,11.22222222222222,2.0,0.05882352941176471,0.1411764705882353,0.0,0.1176470588235294,0.1411764705882353,0.5,98.125,2
0,1.294435673895644,2.383149263628361,0.4736725800948598,1.719844000690509,2.662503601620326,0.4196026089211202,4.5,9.142857142857142,7.5,0.05882352941176471,0.1818181818181818,0.1666666666666667,0.1764705882352941,0.1948051948051948,0.1666666666666667,154.9375,3
0,1.675077552500851,2.902079082918059,1.783699769892194,1.541337827514722,2.057805771077371,1.457422084392637,5.142857142857143,11.125,8.0,0.125,0.1467391304347826,0.07142857142857142,0.1875,0.2065217391304348,0.2142857142857143,158.01,2
1,1.343719437890298,3.72682995402375,2.307284486151032,1.208490041802514,3.288537716245449,2.214257914513698,14.75,10.70588235294118,4.909090909090909,0.1558441558441558,0.1758241758241758,0.1555555555555556,0.1818181818181818,0.1593406593406593,0.1555555555555556,261.78125,3
1,1.621938179887777,0.06235498572354523,1.579225702100364,0.8691152024848348,2.474282833895715,1.081304279643618,5.166666666666667,7.2,8.625,0.1285714285714286,0.1107491856677524,0.1846153846153846,0.1428571428571428,0.1335504885993485,0.1692307692307692,251.28125,4
